[2026-03-24T15:08:41.618Z] GET http://localhost:3000/ → 200 (14ms, ?B)
[2026-03-24T15:08:41.646Z] GET http://localhost:3000/@vite/client → 200 (14ms, 182535B)
[2026-03-24T15:08:41.646Z] GET http://localhost:3000/src/main.tsx?t=1774364718877 → 200 (14ms, 20828B)
[2026-03-24T15:08:41.655Z] GET http://localhost:3000/@react-refresh → 200 (8ms, 113132B)
[2026-03-24T15:08:41.661Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=444905f7 → 200 (2ms, 12434B)
[2026-03-24T15:08:41.661Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=444905f7 → 200 (2ms, 724B)
[2026-03-24T15:08:41.661Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=444905f7 → 200 (18ms, 1005535B)
[2026-03-24T15:08:41.661Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=444905f7 → 200 (19ms, 463934B)
[2026-03-24T15:08:41.661Z] GET http://localhost:3000/src/index.css?t=1774364718877 → 200 (18ms, 26868B)
[2026-03-24T15:08:41.661Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 200 (3ms, 3861B)
[2026-03-24T15:08:41.663Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-AEW4WGTC.js?v=444905f7 → 200 (16ms, 46922B)
[2026-03-24T15:08:41.680Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-6NB43VFI.js?v=444905f7 → 200 (22ms, 16461B)
[2026-03-24T15:09:02.937Z] GET http://localhost:3000/projects → 200 (7ms, 638B)
[2026-03-24T15:09:02.946Z] GET http://localhost:3000/@vite/client → 304 (1ms, ?B)
[2026-03-24T15:09:02.946Z] GET http://localhost:3000/src/main.tsx?t=1774364718877 → 304 (1ms, ?B)
[2026-03-24T15:09:02.946Z] GET http://localhost:3000/@react-refresh → 304 (3ms, ?B)
[2026-03-24T15:09:02.947Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-03-24T15:09:02.948Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=444905f7 → 200 (?ms, 12434B)
[2026-03-24T15:09:02.948Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=444905f7 → 200 (?ms, 724B)
[2026-03-24T15:09:02.948Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=444905f7 → 200 (?ms, 1005535B)
[2026-03-24T15:09:02.949Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=444905f7 → 200 (?ms, 463934B)
[2026-03-24T15:09:02.949Z] GET http://localhost:3000/src/index.css?t=1774364718877 → 304 (1ms, ?B)
[2026-03-24T15:09:02.949Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-AEW4WGTC.js?v=444905f7 → 200 (?ms, 46922B)
[2026-03-24T15:09:02.949Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-6NB43VFI.js?v=444905f7 → 200 (?ms, 16461B)
[2026-03-24T15:09:15.120Z] GET http://localhost:3000/agents → 200 (5ms, 638B)
[2026-03-24T15:09:15.127Z] GET http://localhost:3000/@vite/client → 200 (2ms, 182535B)
[2026-03-24T15:09:15.127Z] GET http://localhost:3000/src/main.tsx?t=1774364718877 → 200 (?ms, 20828B)
[2026-03-24T15:09:15.127Z] GET http://localhost:3000/@react-refresh → 200 (2ms, 113132B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=444905f7 → 200 (?ms, 12434B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=444905f7 → 200 (?ms, 724B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=444905f7 → 200 (?ms, 1005535B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=444905f7 → 200 (?ms, 463934B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/src/index.css?t=1774364718877 → 200 (1ms, 26868B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-AEW4WGTC.js?v=444905f7 → 200 (?ms, 46922B)
[2026-03-24T15:09:15.128Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-6NB43VFI.js?v=444905f7 → 200 (1ms, 16461B)
[2026-03-24T15:09:15.129Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 200 (1ms, 3861B)
[2026-03-24T15:09:26.335Z] GET http://localhost:3000/knowledge → 200 (4ms, 638B)
[2026-03-24T15:09:26.341Z] GET http://localhost:3000/@vite/client → 304 (?ms, ?B)
